player,span,matches_played,innings_bowled,balls,overs,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets
N Saud (SPR),2024-2024,8,7,85,14.1,-,97,6,5/19,16.16,6.84,14.16,-,1,-
WG Bosisto (KAY),2024-2024,7,7,144,24.0,1,164,9,6/28,18.22,6.83,16.00,-,1,-
SC Kuggeleijn (SPR),2024-2024,9,9,173,28.5,1,210,17,5/18,12.35,7.28,10.17,-,1,-
Sohail Tanvir (CHR),2024-2024,8,8,182,30.2,1,174,14,5/21,12.42,5.73,13.00,-,1,-
H Thaker (JAB),2024-2024,10,9,186,31.0,2,197,11,5/23,17.90,6.35,16.90,-,1,-
