player,span,matches_played,overs,maidens_earned,balls,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets
B Aagri (LUL),2024-2024,1,2.0,-,12,14,3,3/14,4.66,7.00,4.00,-,-,-
Lokesh Bam (BIK),2024-2024,7,1.0,-,6,8,1,1/8,8.00,8.00,6.00,-,-,-
D Kharel (POA),2024-2024,7,1.1,-,7,15,1,1/9,15.00,12.85,7.00,-,-,-
Deepak Bohara (CHR),2024-2024,6,1.2,-,8,9,1,1/9,9.00,6.75,8.00,-,-,-
SC Kuggeleijn (SPR),2024-2024,9,28.5,1,173,210,17,5/18,12.35,7.28,10.17,-,1,-
I Pandey (SPR),2024-2024,9,7.0,-,42,52,4,2/11,13.00,7.42,10.50,-,-,-
Karan KC (KAG),2024-2024,7,23.5,-,143,152,12,4/16,12.66,6.37,11.91,1,-,-
Bipin Khatri (POA),2024-2024,7,18.0,1,108,133,9,3/19,14.77,7.38,12.00,-,-,-
LM Benkenstein (CHR),2024-2024,5,8.0,-,48,68,4,3/37,17.00,8.50,12.00,-,-,-
TR Bhandari (LUL),2024-2024,1,4.0,-,24,23,2,2/23,11.50,5.75,12.00,-,-,-
BFW de Leede (POA),2024-2024,1,4.0,-,24,20,2,2/20,10.00,5.00,12.00,-,-,-
RP Magar (BIK),2024-2024,5,2.0,-,12,22,1,1/22,22.00,11.00,12.00,-,-,-
SA Zaib (SPR),2024-2024,9,24.1,-,145,151,12,3/33,12.58,6.24,12.08,-,-,-
Pratis GC (BIK),2024-2024,6,19.0,1,114,127,9,4/17,14.11,6.68,12.66,2,-,-
Sohail Tanvir (CHR),2024-2024,8,30.2,1,182,174,14,5/21,12.42,5.73,13.00,-,1,-
SM Dhakal (KAY),2024-2024,1,2.1,-,13,25,1,1/25,25.00,11.53,13.00,-,-,-
R Dhakal (CHR),2024-2024,8,28.5,1,173,232,13,3/10,17.84,8.04,13.30,-,-,-
BP Sharma (KAY),2024-2024,8,29.0,2,174,171,13,3/17,13.15,5.89,13.38,-,-,-
AS Routela (CHR),2024-2024,8,9.0,-,54,70,4,2/9,17.50,7.77,13.50,-,-,-
