player,Span,matches_played,Overs,maidens_earned,balls,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets
B Aagri (LUL),2024-2024,1,2.0,-,12,14,3,3/14,4.66,7.00,4.00,-,-,-
Lokesh Bam (BIK),2024-2024,7,1.0,-,6,8,1,1/8,8.00,8.00,6.00,-,-,-
Deepak Bohara (CHR),2024-2024,6,1.2,-,8,9,1,1/9,9.00,6.75,8.00,-,-,-
BFW de Leede (POA),2024-2024,1,4.0,-,24,20,2,2/20,10.00,5.00,12.00,-,-,-
Harmeet Singh (SPR),2024-2024,5,20.0,2,120,90,8,3/17,11.25,4.50,15.00,-,-,-
TR Bhandari (LUL),2024-2024,1,4.0,-,24,23,2,2/23,11.50,5.75,12.00,-,-,-
MG Erasmus (KAG),2024-2024,7,25.1,-,151,131,11,3/17,11.90,5.20,13.72,-,-,-
SC Kuggeleijn (SPR),2024-2024,9,28.5,1,173,210,17,5/18,12.35,7.28,10.17,-,1,-
Sohail Tanvir (CHR),2024-2024,8,30.2,1,182,174,14,5/21,12.42,5.73,13.00,-,1,-
D Kandel (KAG),2024-2024,6,16.0,-,96,87,7,3/6,12.42,5.43,13.71,-,-,-
LN Rajbanshi (JAB),2024-2024,10,40.0,5,240,213,17,3/8,12.52,5.32,14.11,-,-,-
SA Zaib (SPR),2024-2024,9,24.1,-,145,151,12,3/33,12.58,6.24,12.08,-,-,-
Karan KC (KAG),2024-2024,7,23.5,-,143,152,12,4/16,12.66,6.37,11.91,1,-,-
Abhishesh Gautam (LUL),2024-2024,4,16.0,-,96,78,6,3/20,13.00,4.87,16.00,-,-,-
I Pandey (SPR),2024-2024,9,7.0,-,42,52,4,2/11,13.00,7.42,10.50,-,-,-
BP Sharma (KAY),2024-2024,8,29.0,2,174,171,13,3/17,13.15,5.89,13.38,-,-,-
RK Paudel (LUL),2024-2024,7,19.0,-,114,107,8,4/17,13.37,5.63,14.25,1,-,-
Pratis GC (BIK),2024-2024,6,19.0,1,114,127,9,4/17,14.11,6.68,12.66,2,-,-
Bipin Khatri (POA),2024-2024,7,18.0,1,108,133,9,3/19,14.77,7.38,12.00,-,-,-
