player,span,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored
Pokhara Avengers (NPL),,,,,,,,,,,
D Kandel,2024-2024,6,4,3,12,11,12,133.33,-,-,1
Kathmandu Gurkhas (NPL),,,,,,,,,,,
S Kansakar,2024-2024,10,6,1,71,26,14.2,93.42,-,-,1
Janakpur Bolts (NPL),,,,,,,,,,,
Karan KC,2024-2024,7,7,-,51,28,7.28,130.76,-,-,1
Kathmandu Gurkhas (NPL),,,,,,,,,,,
B Karki,2024-2024,2,-,-,-,-,-,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,
S Karki,2024-2024,8,7,1,108,28,18,97.29,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
D Khanal,2024-2024,9,9,-,116,53,12.88,82.85,-,1,2
Karnali Yaks (NPL),,,,,,,,,,,
A Kharel,2024-2024,5,3,3,17,10,-,89.47,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,
D Kharel,2024-2024,7,7,1,162,61,27,114.08,-,1,-
Pokhara Avengers (NPL),,,,,,,,,,,
B Khatri,2024-2024,2,1,1,4,4,-,133.33,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
NR Kirton,2024-2024,7,7,-,93,40,13.28,90.29,-,-,1
Biratnagar Kings (NPL),,,,,,,,,,,
JA Kolsawala,2024-2024,2,2,-,54,53,27,125.58,-,1,-
Karnali Yaks (NPL),,,,,,,,,,,
SC Kuggeleijn,2024-2024,9,7,2,66,16,13.2,146.66,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
R Kumar,2024-2024,5,1,1,-,0,-,-,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
Kushal Malla,2024-2024,8,8,-,223,72,27.87,121.19,-,1,-
Chitwan Rhinos (NPL),,,,,,,,,,,
S Lamichhane,2024-2024,7,5,1,22,8,5.5,110,-,-,1
Biratnagar Kings (NPL),,,,,,,,,,,
MA Leask,2024-2024,7,6,-,44,25,7.33,125.71,-,-,1
Pokhara Avengers (NPL),,,,,,,,,,,
M Levitt,2024-2024,7,7,-,102,32,14.57,137.83,-,-,1
Kathmandu Gurkhas (NPL),,,,,,,,,,,
JN Loftie-Eaton,2024-2024,3,3,1,17,9,8.5,73.91,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
Lokesh Bam,2024-2024,7,7,-,131,71,18.71,136.45,-,1,1
Biratnagar Kings (NPL),,,,,,,,,,,
RP Magar,2024-2024,5,5,1,78,33,19.5,108.33,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,
S Maharjan,2024-2024,5,5,1,87,40,21.75,91.57,-,-,1
Kathmandu Gurkhas (NPL),,,,,,,,,,,
K Mahato,2024-2024,10,4,3,6,4,6,28.57,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
Z Malik,2024-2024,2,2,-,14,10,7,58.33,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,
S Malla,2024-2024,8,5,1,24,16,6,88.88,-,-,2
Janakpur Bolts (NPL),,,,,,,,,,,
Mayan Yadav,2024-2024,2,2,1,16,14,16,76.19,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
B McMullen,2024-2024,9,9,-,201,53,22.33,124.84,-,1,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
BWM Mike,2024-2024,1,-,-,-,-,-,-,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
BKEL Milantha,2024-2024,10,10,1,293,87,32.55,130.8,-,2,-
Janakpur Bolts (NPL),,,,,,,,,,,
Mohammad Mohsin,2024-2024,9,6,1,42,13,8.4,105,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
TJ Moores,2024-2024,7,7,-,165,45,23.57,126.92,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,
JK Mukhiya,2024-2024,1,1,-,-,-,-,-,-,-,1
Biratnagar Kings (NPL),,,,,,,,,,,
D Nath,2024-2024,6,5,-,46,27,9.2,90.19,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,
JDS Neesham,2024-2024,9,9,2,247,65,35.28,196.03,-,1,-
Janakpur Bolts (NPL),,,,,,,,,,,
I Pandey,2024-2024,9,7,2,128,38,25.6,114.28,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
RK Paudel,2024-2024,7,7,-,279,95,39.85,131.6,-,2,-
Lumbini Lions (NPL),,,,,,,,,,,
Pratis GC,2024-2024,6,5,2,20,7,6.66,117.64,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,
LN Rajbanshi,2024-2024,10,3,-,4,4,1.33,28.57,-,-,2
