player_name,runs_scored,minutes_batted,balls_faced,boundary_fours,boundary_sixes,batting_strike_rate,team,opposition,ground,match_date
B McMullen,36,-,26,2,2,138.46,S Paschim,v Biratnagar,Kirtipur,3-Dec-24
RS Bopara,36,-,18,2,2,200,Chitwan,v S Paschim,Kirtipur,8-Dec-24
TJ Moores,36,-,35,4,1,102.85,Lumbini,v Karnali,Kirtipur,13-Dec-24
AGS Gous,36,-,21,4,2,171.42,Pokhara,v S Paschim,Kirtipur,15-Dec-24
MJJ Critchley,35,-,30,3,1,116.66,Pokhara,v Janakpur,Kirtipur,5-Dec-24
B Bhandari,35,-,28,2,2,125,S Paschim,v Kathmandu,Kirtipur,5-Dec-24
RK Paudel,35,-,38,3,-,92.1,Lumbini,v Janakpur,Kirtipur,8-Dec-24
I Pandey,35,-,28,4,1,125,S Paschim,v Chitwan,Kirtipur,8-Dec-24
RA Reifer,34,-,23,3,2,147.82,Pokhara,v Biratnagar,Kirtipur,12-Dec-24
RP Magar,33,-,20,1,3,165,Biratnagar,v Chitwan,Kirtipur,13-Dec-24
A Gharti,33,-,22,2,2,150,Karnali,v Janakpur,Kirtipur,2-Dec-24
Aasif Sheikh,33,-,34,3,-,97.05,Janakpur,v Pokhara,Kirtipur,5-Dec-24
B Bhandari,33,-,37,3,1,89.18,S Paschim,v Janakpur,Kirtipur,11-Dec-24
RA Reifer,33,-,28,2,2,117.85,Pokhara,v S Paschim,Kirtipur,15-Dec-24
Aasif Sheikh,33,-,19,4,2,173.68,Janakpur,v S Paschim,Kirtipur,21-Dec-24
M Levitt,32,-,18,6,1,177.77,Kathmandu,v Pokhara,Kirtipur,14-Dec-24
K Thagunna,32,-,28,3,1,114.28,Pokhara,v S Paschim,Kirtipur,15-Dec-24
SA Zaib,32,-,21,3,2,152.38,S Paschim,v Janakpur,Kirtipur,18-Dec-24
TJ Moores,31,-,23,2,1,134.78,Lumbini,v Janakpur,Kirtipur,8-Dec-24
LM Benkenstein,31,-,29,3,1,106.89,Chitwan,v Lumbini,Kirtipur,10-Dec-24
B Sharki,31,-,40,1,-,77.5,Kathmandu,v Lumbini,Kirtipur,11-Dec-24
K Bhurtel,31,-,34,2,1,91.17,Pokhara,v Biratnagar,Kirtipur,12-Dec-24
H Thaker,30,-,24,-,2,125,Janakpur,v S Paschim,Kirtipur,21-Dec-24
N Joshi,30,-,24,3,2,125,Pokhara,v Chitwan,Kirtipur,3-Dec-24
TJ Moores,30,-,17,1,3,176.47,Lumbini,v Biratnagar,Kirtipur,4-Dec-24
