player,catches_as_a_fielder,innings_in_match,team,opposition,ground,match_date
AK Sah,5,1,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
Gulsan Jha,4,2,Karnali,v Chitwan,Kirtipur,18 Dec 2024
K Bhurtel,3,1,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
NB Budayair,3,1,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
J Tromp,3,1,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
A Yadav,3,1,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
S Jora,3,1,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
AK Sah,3,1,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
D Bohara,3,2,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
AK Sah,2,1,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
NR Kirton,2,1,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
Pratis GC,2,1,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
NB Budayair,2,2,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Aasif Sheikh,2,1,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
AK Sah,2,1,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
I Pandey,2,2,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Saad Bin Zafar,2,1,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
I Pandey,2,2,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
CB Sole,2,1,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
B Yadav,2,1,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
JDS Neesham,2,2,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
WG Bosisto,2,1,Karnali,v Pokhara,Kirtipur,10 Dec 2024
Shahab Alam,2,2,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
Saad Bin Zafar,2,1,Lumbini,v Karnali,Kirtipur,13 Dec 2024
RR Simmonds,2,1,Lumbini,v Karnali,Kirtipur,13 Dec 2024
M Levitt,2,1,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
R Dhakal,2,2,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
DA Douthwaite,2,1,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
B Sharki,2,1,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
NB Budayair,2,2,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
B McMullen,2,2,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
B McMullen,2,1,S Paschim,v Karnali,Kirtipur,16 Dec 2024
B McMullen,2,1,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
JDS Neesham,2,2,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
