player,catches_as_a_fielder,team,opposition,ground,match_date
AK Sah,5,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
Gulsan Jha,4,Karnali,v Chitwan,Kirtipur,18 Dec 2024
K Bhurtel,3,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
NB Budayair,3,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
A Yadav,3,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
J Tromp,3,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
S Jora,3,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
AK Sah,3,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
D Bohara,3,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
AK Sah,2,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
NB Budayair,2,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
NR Kirton,2,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
Pratis GC,2,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
AK Sah,2,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
Aasif Sheikh,2,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
I Pandey,2,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Saad Bin Zafar,2,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
I Pandey,2,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
CB Sole,2,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
JDS Neesham,2,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
B Yadav,2,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
WG Bosisto,2,Karnali,v Pokhara,Kirtipur,10 Dec 2024
Shahab Alam,2,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
Saad Bin Zafar,2,Lumbini,v Karnali,Kirtipur,13 Dec 2024
RR Simmonds,2,Lumbini,v Karnali,Kirtipur,13 Dec 2024
M Levitt,2,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
R Dhakal,2,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
DA Douthwaite,2,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
B Sharki,2,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
NB Budayair,2,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
B McMullen,2,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
B McMullen,2,S Paschim,v Karnali,Kirtipur,16 Dec 2024
JDS Neesham,2,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
B McMullen,2,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
NK Yadav,2,Karnali,v Janakpur,Kirtipur,19 Dec 2024
LN Rajbanshi,2,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
Mohammad Mohsin,1,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
A Yadav,1,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
S Vesawkar,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
S Rana,1,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
AS Routela,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Kushal Malla,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
S Karki,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Hassan Eisakhil,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Deepak Bohara,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
JDS Neesham,1,Janakpur,v Karnali,Kirtipur,02 Dec 2024
D Khanal,1,Karnali,v Janakpur,Kirtipur,02 Dec 2024
MJ Guptill,1,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
DS Airee,1,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
B McMullen,1,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
RS Bopara,1,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
MJJ Critchley,1,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
Bipin Khatri,1,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
LM Benkenstein,1,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
S Karki,1,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Deepak Bohara,1,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
S Dhawan,1,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
Sompal Kami,1,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
Karan KC,1,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
NK Yadav,1,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
D Khanal,1,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
MJ Guptill,1,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
BCJ Cutting,1,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Saad Bin Zafar,1,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
RK Paudel,1,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
S Jora,1,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
